"Forme","Hauteur_mm","Largeur_mm","PrixBase_EUR","Commentaire"
"Faces planes","1500","600","510",
"Faces planes","1500","800","530",
"Faces planes","1500","1000","550",
"Faces planes","1500","1200","600",
"Faces planes","1500","1400","660",
"Faces planes","2000","600","600",
"Faces planes","2000","800","660",
"Faces planes","2000","1000","700",
"Faces planes","2000","1200","770",
"Faces planes","2000","1400","800",
"Faces planes","2500","600","760",
"Faces planes","2500","800","800",
"Faces planes","2500","1000","810",
"Faces planes","2500","1200","870",
"Faces planes","2500","1400","950",
"Faces planes","3000","600","900",
"Faces planes","3000","800","1000",
"Faces planes","3000","1000","1050",
"Faces planes","3000","1200","1100",
"Faces planes","3000","1400","1120",
"Faces planes","3500","600","1300",
"Faces planes","3500","800","1350",
"Faces planes","3500","1000","1600",
"Faces planes","3500","1200","1800",
"Faces planes","3500","1400","1900",
"Faces planes","4000","600","1850",
"Faces planes","4000","800","2000",
"Faces planes","4000","1000","2200",
"Faces planes","4000","1200","2400",
"Faces planes","4000","1400","2600",
"Faces planes","4500","600","2240",
"Faces planes","4500","800","2470",
"Faces planes","4500","1000","2630",
"Faces planes","4500","1200","2850",
"Faces planes","4500","1400","3020",
"Faces planes","5000","600","2550",
"Faces planes","5000","800","2780",
"Faces planes","5000","1000","2930",
"Faces planes","5000","1200","3200",
"Faces planes","5000","1400","3470",
"Faces planes","6000","600","3050",
"Faces planes","6000","800","3200",
"Faces planes","6000","1000","3500",
"Faces planes","6000","1200","3800",
"Faces planes","6000","1400","3990",
"Faces galbées","1500","600","535",
"Faces galbées","1500","800","556",
"Faces galbées","1500","1000","577",
"Faces galbées","1500","1200","630",
"Faces galbées","1500","1400","693",
"Faces galbées","2000","600","630",
"Faces galbées","2000","800","693",
"Faces galbées","2000","1000","735",
"Faces galbées","2000","1200","808",
"Faces galbées","2000","1400","840",
"Faces galbées","2500","600","798",
"Faces galbées","2500","800","840",
"Faces galbées","2500","1000","850",
"Faces galbées","2500","1200","913",
"Faces galbées","2500","1400","997",
"Faces galbées","3000","600","945",
"Faces galbées","3000","800","1050",
"Faces galbées","3000","1000","1102",
"Faces galbées","3000","1200","1155",
"Faces galbées","3000","1400","1176",
"Faces galbées","3500","600","1365",
"Faces galbées","3500","800","1417",
"Faces galbées","3500","1000","1680",
"Faces galbées","3500","1200","1890",
"Faces galbées","3500","1400","1995",
"Faces galbées","4000","600","1942",
"Faces galbées","4000","800","2100",
"Faces galbées","4000","1000","2310",
"Faces galbées","4000","1200","2520",
"Faces galbées","4000","1400","2730",
"Faces galbées","4500","600","2352",
"Faces galbées","4500","800","2593",
"Faces galbées","4500","1000","2761",
"Faces galbées","4500","1200","2992",
"Faces galbées","4500","1400","3171",
"Faces galbées","5000","600","2677",
"Faces galbées","5000","800","2919",
"Faces galbées","5000","1000","3076",
"Faces galbées","5000","1200","3360",
"Faces galbées","5000","1400","3643",
"Faces galbées","6000","600","3202",
"Faces galbées","6000","800","3360",
"Faces galbées","6000","1000","3675",
"Faces galbées","6000","1200","3990",
"Faces galbées","6000","1400","4189",
