departement,longueur_m,prix_ht
01,0.4 à 0.5 m,348.4824
02,0.4 à 0.5 m,291.81039999999996
03,0.4 à 0.5 m,308.33360000000005
04,0.4 à 0.5 m,416.96720000000005
,0.4 à 0.5 m,416.96720000000005
06,0.4 à 0.5 m,419.3224
07,0.4 à 0.5 m,390.9864
08,0.4 à 0.5 m,334.3144
09,0.4 à 0.5 m,367.3792
10,0.4 à 0.5 m,291.81039999999996
11,0.4 à 0.5 m,393.3416
12,0.4 à 0.5 m,390.9864
13,0.4 à 0.5 m,416.96720000000005
14,0.4 à 0.5 m,294.18399999999997
15,0.4 à 0.5 m,348.4824
16,0.4 à 0.5 m,298.8944
17,0.4 à 0.5 m,298.8944
18,0.4 à 0.5 m,287.1
19,0.4 à 0.5 m,334.3144
21,0.4 à 0.5 m,357.9216
22,0.4 à 0.5 m,298.8944
23,0.4 à 0.5 m,291.81039999999996
24,0.4 à 0.5 m,334.3144
25,0.4 à 0.5 m,348.4824
26,0.4 à 0.5 m,369.7344
27,0.4 à 0.5 m,287.1
28,0.4 à 0.5 m,291.81039999999996
29,0.4 à 0.5 m,298.8944
30,0.4 à 0.5 m,428.76160000000004
31,0.4 à 0.5 m,369.7344
32,0.4 à 0.5 m,369.7344
33,0.4 à 0.5 m,341.39840000000004
34,0.4 à 0.5 m,428.76160000000004
35,0.4 à 0.5 m,287.1
36,0.4 à 0.5 m,284.7264
37,0.4 à 0.5 m,291.81039999999996
38,0.4 à 0.5 m,379.17359999999996
39,0.4 à 0.5 m,348.4824
40,0.4 à 0.5 m,379.17359999999996
41,0.4 à 0.5 m,291.81039999999996
42,0.4 à 0.5 m,357.9216
43,0.4 à 0.5 m,348.4824
44,0.4 à 0.5 m,291.81039999999996
45,0.4 à 0.5 m,284.7264
46,0.4 à 0.5 m,381.54720000000003
47,0.4 à 0.5 m,381.54720000000003
48,0.4 à 0.5 m,398.0704
49,0.4 à 0.5 m,291.81039999999996
50,0.4 à 0.5 m,287.1
51,0.4 à 0.5 m,298.8944
52,0.4 à 0.5 m,334.3144
53,0.4 à 0.5 m,291.81039999999996
54,0.4 à 0.5 m,336.6696
55,0.4 à 0.5 m,336.6696
56,0.4 à 0.5 m,291.81039999999996
57,0.4 à 0.5 m,336.6696
58,0.4 à 0.5 m,308.33360000000005
59,0.4 à 0.5 m,298.8944
60,0.4 à 0.5 m,287.1
61,0.4 à 0.5 m,291.81039999999996
62,0.4 à 0.5 m,298.8944
63,0.4 à 0.5 m,298.8944
64,0.4 à 0.5 m,383.9024
65,0.4 à 0.5 m,383.9024
66,0.4 à 0.5 m,416.96720000000005
67,0.4 à 0.5 m,369.7344
68,0.4 à 0.5 m,369.7344
69,0.4 à 0.5 m,341.39840000000004
70,0.4 à 0.5 m,357.9216
71,0.4 à 0.5 m,334.3144
72,0.4 à 0.5 m,234.3288
73,0.4 à 0.5 m,369.7344
74,0.4 à 0.5 m,369.7344
75,0.4 à 0.5 m,284.7264
76,0.4 à 0.5 m,287.1
77,0.4 à 0.5 m,287.1
78,0.4 à 0.5 m,275.2872
79,0.4 à 0.5 m,287.1
80,0.4 à 0.5 m,308.33360000000005
81,0.4 à 0.5 m,369.7344
82,0.4 à 0.5 m,369.7344
83,0.4 à 0.5 m,440.57439999999997
84,0.4 à 0.5 m,428.76160000000004
85,0.4 à 0.5 m,291.81039999999996
86,0.4 à 0.5 m,291.81039999999996
87,0.4 à 0.5 m,308.33360000000005
88,0.4 à 0.5 m,357.9216
89,0.4 à 0.5 m,298.8944
90,0.4 à 0.5 m,357.9216
91,0.4 à 0.5 m,275.2872
92,0.4 à 0.5 m,275.2872
93,0.4 à 0.5 m,275.2872
94,0.4 à 0.5 m,275.2872
95,0.4 à 0.5 m,275.2872
01,0.8 à 1m,415.7527999999999
02,0.8 à 1m,366.47759999999994
03,0.8 à 1m,365.0056
04,0.8 à 1m,487.7336
,0.8 à 1m,487.7336
06,0.8 à 1m,556.8992
07,0.8 à 1m,499.6016
08,0.8 à 1m,386.88319999999993
09,0.8 à 1m,459.7472
10,0.8 à 1m,366.47759999999994
11,0.8 à 1m,486.55600000000004
12,0.8 à 1m,467.54879999999997
13,0.8 à 1m,486.55600000000004
14,0.8 à 1m,326.0712
15,0.8 à 1m,415.7527999999999
16,0.8 à 1m,343.1648
17,0.8 à 1m,343.1648
18,0.8 à 1m,346.1272
19,0.8 à 1m,398.0704
21,0.8 à 1m,421.8616
22,0.8 à 1m,331.4992
23,0.8 à 1m,366.47759999999994
24,0.8 à 1m,416.0288
25,0.8 à 1m,415.7527999999999
26,0.8 à 1m,437.888
27,0.8 à 1m,326.0712
28,0.8 à 1m,299.7776
29,0.8 à 1m,369.7344
30,0.8 à 1m,483.06
31,0.8 à 1m,437.888
32,0.8 à 1m,437.888
33,0.8 à 1m,393.3416
34,0.8 à 1m,506.3728
35,0.8 à 1m,326.0712
36,0.8 à 1m,343.2936
37,0.8 à 1m,299.7776
