Titre,Hauteur_mm,PrixBrut_EUR,PrixLaque_EUR,SupFixation_EUR,Commentaire
Lettre alu 20/10 ou type Dibond 3 mm,100,12.00,20.00,3.00,
Lettre alu 20/10 ou type Dibond 3 mm,150,13.00,22.00,5.00,
Lettre alu 20/10 ou type Dibond 3 mm,200,15.00,25.00,6.00,
Lettre alu 20/10 ou type Dibond 3 mm,250,16.00,26.00,8.00,
Lettre alu 20/10 ou type Dibond 3 mm,300,18.50,30.00,10.00,
Lettre alu 20/10 ou type Dibond 3 mm,350,21.00,34.00,11.50,
Lettre alu 20/10 ou type Dibond 3 mm,400,26.00,40.00,13.00,
Lettre alu 20/10 ou type Dibond 3 mm,450,31.00,47.00,15.00,
Lettre alu 20/10 ou type Dibond 3 mm,500,36.00,54.00,17.00,
Lettre alu 20/10 ou type Dibond 3 mm,600,49.00,72.00,18.00,
Lettre alu 20/10 ou type Dibond 3 mm,700,64.00,92.00,23.00,
Lettre alu 20/10 ou type Dibond 3 mm,800,81.00,116.00,27.00,
Lettre alu 20/10 ou type Dibond 3 mm,900,101.00,143.00,30.00,
Lettre alu 20/10 ou type Dibond 3 mm,1000,122.00,172.00,34.00,
Lettre alu 20/10 ou type Dibond 3 mm,1100,144.00,202.00,37.00,
Lettre alu 20/10 ou type Dibond 3 mm,1200,165.00,231.00,40.00,
Lettre alu 20/10 ou type Dibond 3 mm,1300,186.00,261.00,44.00,
Lettre alu 20/10 ou type Dibond 3 mm,1400,208.00,290.00,47.00,
Lettre alu 20/10 ou type Dibond 3 mm,1500,229.00,320.00,51.00,
