"Titre,""Produit"",""HauteurMin_mm"",""HauteurMax_mm"",""Eclairage"",""PrixUnitaire_EUR"",""Commentaire"""
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,,""250"",""non"",""86,00 €"","
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,,""250"",""oui"",""141,00 €"",""rétroéclairage et pose sur taquet"
"
Lettre boitier Bâton chants aluminium et face avant type Dibond laqué"",,""260"",""350"",""non"",""96,00 €"","
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""260"",""350"",""oui"",""157,00 €"",""rétroéclairage et pose sur taquet"""
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""360"",""450"",""non"",""119,00 €"","
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""360"",""450"",""oui"",""194,00 €"",""rétroéclairage et pose sur taquet"""
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""460"",""550"",""non"",""145,00 €"","
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""460"",""550"",""oui"",""237,00 €"",""rétroéclairage et pose sur taquet"""
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""560"",""650"",""non"",""180,00 €"","
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""560"",""650"",""oui"",""294,00 €"",""rétroéclairage et pose sur taquet"""
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""660"",""750"",""non"",""218,00 €"","
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""660"",""750"",""oui"",""356,00 €"",""rétroéclairage et pose sur taquet"""
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""760"",""850"",""non"",""323,00 €"","
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""760"",""850"",""oui"",""539,00 €"",""rétroéclairage et pose sur taquet"""
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""860"",""1 000"",""non"",""389,00 €"","
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""860"",""1 000"",""oui"",""635,00 €"",""rétroéclairage et pose sur taquet"""
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""1 010"",""1 100"",""non"",""412,00 €"","
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""1 010"",""1 100"",""oui"",""688,00 €"",""rétroéclairage et pose sur taquet"""
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""1 110"",""1 200"",""non"",""431,00 €"","
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""1 110"",""1 200"",""oui"",""720,00 €"",""rétroéclairage et pose sur taquet"""
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""1 210"",""1 300"",""non"",""480,00 €"","
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""1 210"",""1 300"",""oui"",""785,00 €"",""rétroéclairage et pose sur taquet"""
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""1 310"",""1 400"",""non"",""520,00 €"","
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""1 310"",""1 400"",""oui"",""869,00 €"",""rétroéclairage et pose sur taquet"""
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""1 410"",""1 500"",""non"",""584,00 €"","
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""1 410"",""1 500"",""oui"",""955,00 €"",""rétroéclairage et pose sur taquet"""
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""1 510"",""1 600"",""non"",""630,00 €"","
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""1 510"",""1 600"",""oui"",""1 051,00 €"",""rétroéclairage et pose sur taquet"""
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""1 610"",""1 700"",""non"",""706,00 €"","
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""1 610"",""1 700"",""oui"",""1 180,00 €"",""rétroéclairage et pose sur taquet"""
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""1 710"",""1 800"",""non"",""786,00 €"","
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""1 710"",""1 800"",""oui"",""1 285,00 €"",""rétroéclairage et pose sur taquet"""
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""1 810"",""1 900"",""non"",""843,00 €"","
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""1 810"",""1 900"",""oui"",""1 380,00 €"",""rétroéclairage et pose sur taquet"""
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""1 910"",""2 000"",""non"",""905,00 €"","
"Lettre boitier Bâton chants aluminium et face avant type Dibond laqué,,""1 910"",""2 000"",""oui"",""1 481,00 €"",""rétroéclairage et pose sur taquet"""
