"Nom de l’option","Type d’option","Hauteur minimale (mm)","Hauteur maximale (mm)","Prix unitaire HT (€)","Actif"
"Platine standard","platine","1500","1999","61","Vrai"
"Platine standard","platine","2000","2499","120","Vrai"
"Platine standard","platine","2500","2999","120","Vrai"
"Platine standard","platine","3000","3499","120","Vrai"
"Platine standard","platine","3500","3999","171","Vrai"
"Platine standard","platine","4000","4499","171","Vrai"
"Platine standard","platine","4500","4999","171","Vrai"
"Platine standard","platine","5000","5999","171","Vrai"
"Platine standard","platine","6000","6000","171","Vrai"
"Panier de crosses","panier de crosses","1500","1999","48","Vrai"
"Panier de crosses","panier de crosses","2000","2499","66","Vrai"
"Panier de crosses","panier de crosses","2500","2999","66","Vrai"
"Panier de crosses","panier de crosses","3000","3499","66","Vrai"
"Panier de crosses","panier de crosses","3500","3999","108","Vrai"
"Panier de crosses","panier de crosses","4000","4499","108","Vrai"
"Panier de crosses","panier de crosses","4500","4999","120","Vrai"
"Panier de crosses","panier de crosses","5000","5999","120","Vrai"
"Panier de crosses","panier de crosses","6000","6000","120","Vrai"
